+-----------------+--------+-----+-----+--------+-------+----------------+-------------------+---------------------+-------------+----------------------------+
| Model           | Layers | M   | N   | Lambda | Noise | Train time (s) | GPU mem mean (MB) | GPU mem median (MB) | Mem samples | Timestamp                  |
+-----------------+--------+-----+-----+--------+-------+----------------+-------------------+---------------------+-------------+----------------------------+
| alista          | 16     | 5   | 10  | 0.005  | 0.0   | 11878.77       | 7593.0            | 7593.0              | 1182        | 2026-05-10T06:53:16.075770 |
| alista          | 16     | 5   | 10  | 0.005  | 0.0   | 12.83          | 7764.0            | 7764.0              | 1           | 2026-05-10T09:55:41.399534 |
| alista          | 16     | 5   | 10  | 0.005  | 0.0   | 12.93          | 7894.0            | 7894.0              | 1           | 2026-05-10T10:10:56.826597 |
| alista          | 16     | 5   | 10  | 0.005  | 0.0   | 12.96          | 7470.0            | 7470.0              | 1           | 2026-05-10T10:56:51.113325 |
| alista          | 16     | 5   | 10  | 0.005  | 0.0   | 12.61          | 7679.0            | 7679.0              | 1           | 2026-05-10T12:03:17.484590 |
| alista          | 16     | 5   | 10  | 0.005  | 0.0   | 12.65          | 7749.0            | 7749.0              | 1           | 2026-05-10T12:08:37.905865 |
| alista          | 16     | 5   | 10  | 0.005  | 0.0   | 12.76          | 7718.0            | 7718.0              | 1           | 2026-05-10T12:14:05.057257 |
| alista          | 16     | 5   | 10  | 0.005  | 0.0   | 12.04          | 7531.0            | 7531.0              | 1           | 2026-05-10T16:00:38.417879 |
| alista          | 2      | 25  | 50  | 0.005  | 0.0   | 1.59           |                   |                     | 0           | 2026-05-07T15:24:50.220237 |
| alista          | 2      | 25  | 50  | 0.005  | 0.1   | 370.14         |                   |                     | 0           | 2026-05-07T15:52:27.704093 |
| alista          | 2      | 25  | 50  | 0.005  | 0.1   | 342.17         |                   |                     | 0           | 2026-05-07T17:48:03.399127 |
| alista          | 2      | 25  | 50  | 0.005  | 0.15  | 365.49         | 7735.8            | 7735.0              | 36          | 2026-05-07T22:50:52.672263 |
| alista          | 2      | 25  | 50  | 0.005  | 0.15  | 1.53           |                   |                     | 0           | 2026-05-08T00:41:01.676963 |
| alista          | 2      | 25  | 50  | 0.005  | 0.15  | 1.64           |                   |                     | 0           | 2026-05-08T10:21:36.815146 |
| alista          | 4      | 25  | 50  | 0.005  | 0.0   | 2.17           |                   |                     | 0           | 2026-05-07T15:25:06.177745 |
| alista          | 4      | 25  | 50  | 0.005  | 0.1   | 1120.6         |                   |                     | 0           | 2026-05-07T18:59:55.972182 |
| alista          | 4      | 25  | 50  | 0.005  | 0.15  | 1079.22        | 7690.8            | 7670.0              | 107         | 2026-05-08T00:01:53.285264 |
| alista          | 4      | 25  | 50  | 0.005  | 0.15  | 2.13           |                   |                     | 0           | 2026-05-08T00:41:18.040220 |
| alista          | 4      | 25  | 50  | 0.005  | 0.15  | 2.29           |                   |                     | 0           | 2026-05-08T10:21:54.909225 |
| alista          | 8      | 25  | 50  | 0.005  | 0.1   | 3386.27        |                   |                     | 0           | 2026-05-07T22:14:13.507375 |
| alista          | 8      | 25  | 50  | 0.005  | 0.15  | 2834.82        | 7840.4            | 7871.0              | 282         | 2026-05-08T12:39:03.577572 |
| l2o_dm          | 100    | 5   | 10  | 0.005  | 0.0   | 363.56         | 7554.9            | 7557.0              | 36          | 2026-05-10T16:06:44.274721 |
| l2o_dm          | 1000   | 5   | 10  | 0.005  | 0.0   | 14.72          | 7582.0            | 7582.0              | 1           | 2026-05-10T16:32:00.495700 |
| l2o_dm          | 1000   | 5   | 10  | 0.005  | 0.0   | 13.56          | 7739.0            | 7739.0              | 1           | 2026-05-10T17:17:25.449934 |
| l2o_dm          | 1000   | 25  | 50  | 0.005  | 0.0   | 18.86          | 7762.0            | 7762.0              | 1           | 2026-05-10T16:34:21.089748 |
| l2o_dm          | 1000   | 25  | 50  | 0.005  | 0.0   | 12.49          | 7755.0            | 7755.0              | 1           | 2026-05-10T17:19:41.268502 |
| l2o_dm          | 1000   | 50  | 100 | 0.005  | 0.0   | 18.21          | 7743.0            | 7743.0              | 1           | 2026-05-10T17:21:16.990825 |
| l2o_dm          | 1000   | 100 | 200 | 0.005  | 0.0   | 27.7           | 7751.0            | 7751.0              | 2           | 2026-05-10T17:24:51.553608 |
| l2o_dm          | 1000   | 200 | 400 | 0.005  | 0.0   | 57.07          | 7603.4            | 7606.0              | 5           | 2026-05-10T17:31:36.518805 |
| l2o_dm_enhanced | 100    | 5   | 10  | 0.005  | 0.0   | 338.43         | 7567.2            | 7567.0              | 33          | 2026-05-10T16:12:27.590570 |
| l2o_dm_enhanced | 100    | 5   | 10  | 0.005  | 0.0   | 15.67          | 7832.0            | 7832.0              | 1           | 2026-05-10T16:32:18.255669 |
